Stop,stop_id,stop_name,stop_desc,stop_lat,stop_lon
w 58 st/broadway,405299,w 58 st/broadway,,40.767155,-73.981981
w 57 st/broadway,400745,w 57 st/broadway,,40.766518,-73.982248
w 57 st/9 av,402233,w 57 st/9 av,,40.768068,-73.985902
w 57 st/10 av,403986,w 57 st/10 av,,40.769323,-73.988953
11 av/w 57 st,403987,11 av/w 57 st,,40.770024,-73.991693
11 av/w 54 st,405443,11 av/w 54 st,,40.76823,-73.99301
11 av/w 50 st,405444,11 av/w 50 st,,40.765989,-73.994643
11 av/ w 47 st,405445,11 av/ w 47 st,,40.764108,-73.996012
11 av/w 44 st,405446,11 av/w 44 st,,40.762,-73.997587
11 av/w 42 st,903207,11 av/w 42 st,,40.760662,-73.998537
11 av/w 38 st,405447,11 av/w 38 st,,40.758109,-74.000379
11 av/w 34 st,405285,11 av/w 34 st,,40.755629,-74.002186
11 av/w 29 st,405449,11 av/w 29 st,,40.752572,-74.004396
11 av/w 26 st,405450,11 av/w 26 st,,40.750895,-74.005642
11 av/w 23 st,405451,11 av/w 23 st,,40.748324,-74.007569
w 18 st / 10 av,450222,w 18 st / 10 av,,40.744323,-74.005938
9 av/w 18 st,401507,9 av/w 18 st,,40.7432,-74.003816
hudson st/w 13 st,401386,hudson st/w 13 st,,40.740187,-74.005344
hudson st/horatio st,401387,hudson st/horatio st,,40.738853,-74.00559
8 av/bleecker st,401608,8 av/bleecker st,,40.737379,-74.004929
8 av/12 st,903063,8 av/12 st,,40.737765,-74.004512
