Latitdue,Longitude
40.737923,-74.004386
40.738132,-74.004139
40.738392,-74.003859
40.738742,-74.003449
40.739072,-74.003079
40.739382,-74.002789
40.739742,-74.002519
40.739954,-74.00302
40.739954,-74.00302
40.740862,-74.005169
40.740972,-74.005409
40.741041,-74.005591
40.741041,-74.005591
40.741052,-74.005619
40.741622,-74.006979
40.741882,-74.007619
40.741912,-74.007699
40.741952,-74.007789
40.741992,-74.007879
40.742019,-74.007942
40.742019,-74.007942
40.742132,-74.008209
40.742472,-74.007949
40.742822,-74.007699
40.743012,-74.008139
40.743182,-74.008529
40.743398,-74.008489
40.743398,-74.008489
40.743952,-74.008389
40.744672,-74.008249
40.745022,-74.008199
40.745372,-74.008149
40.745452,-74.008139
40.74574,-74.008085
40.74574,-74.008085
40.746092,-74.008019
40.746792,-74.007879
40.747502,-74.007749
40.747912,-74.007669
40.748072,-74.007569
40.748192,-74.007479
40.748682,-74.007119
40.748772,-74.007069
40.748882,-74.007009
40.749102,-74.006849
40.749292,-74.006709
40.749522,-74.006549
40.749702,-74.006949
40.749942,-74.007509
40.749949,-74.007526
40.749949,-74.007526
40.750052,-74.007759
40.750282,-74.008299
40.750352,-74.008299
40.750452,-74.008289
40.750582,-74.008259
40.750802,-74.008189
40.751062,-74.008089
40.751702,-74.007839
40.752226,-74.007629
40.752226,-74.007629
40.752402,-74.007559
40.752842,-74.007409
40.753102,-74.007309
40.753772,-74.007049
40.753962,-74.006959
40.754272,-74.006769
40.754452,-74.006649
40.754882,-74.006329
40.754882,-74.006329
40.755972,-74.005519
40.756302,-74.005289
40.756392,-74.005229
40.75643,-74.005201
40.75643,-74.005201
40.756972,-74.004809
40.757132,-74.004689
40.758142,-74.003949
40.758282,-74.003849
40.758692,-74.003559
40.759112,-74.003259
40.759192,-74.003199
40.759502,-74.002979
40.759542,-74.002949
40.759672,-74.002849
40.759962,-74.002639
40.760152,-74.002499
40.760202,-74.002459
40.760432,-74.002279
40.760512,-74.002219
40.760712,-74.002069
40.7608,-74.002003
40.7608,-74.002003
40.761062,-74.001809
40.761332,-74.001619
40.761482,-74.001499
40.761972,-74.001079
40.762072,-74.000939
40.762532,-74.000309
40.762599,-74.000218
40.762599,-74.000218
40.763042,-73.999619
40.763372,-73.999229
40.763572,-73.999019
40.763612,-73.998979
40.763812,-73.998819
40.763892,-73.998749
40.764022,-73.998639
40.764072,-73.998599
40.764222,-73.998489
40.764321,-73.998418
40.764321,-73.998418
40.764852,-73.998039
40.765082,-73.997879
40.765302,-73.997729
40.765462,-73.997619
40.765615,-73.997508
40.765615,-73.997508
40.766112,-73.997149
40.766732,-73.996699
40.767362,-73.996219
40.767982,-73.995789
40.76812,-73.995685
40.76812,-73.995685
40.768992,-73.995029
40.769252,-73.994839
40.769412,-73.994669
40.769552,-73.994549
40.769842,-73.994319
40.769945,-73.99431
40.769945,-73.99431
40.769962,-73.994309
40.770052,-73.994299
40.770382,-73.994249
40.770622,-73.994219
40.770972,-73.994149
40.771032,-73.994129
40.771102,-73.994099
40.771212,-73.994029
40.771332,-73.993899
40.770972,-73.993019
40.770302,-73.991399
40.770264,-73.991309
40.770264,-73.991309
40.770052,-73.990809
40.769102,-73.988559
40.768916,-73.988113
40.768916,-73.988113
40.767912,-73.985709
40.767743,-73.985307
40.767743,-73.985307
40.766702,-73.982819
40.766774,-73.982768
40.766774,-73.982768
40.767132,-73.982519
40.767402,-73.982349
40.767201,-73.981941
